Volk,PdA,SP,Gruene,Piraten,EVP,GLP,Mitte,FDP,LP,EDU,SVP
1.0000,0.6207,0.5517,0.5517,0.5345,0.5517,0.7414,0.7069,0.6552,0.5172,0.5690,0.5345
0.6207,1.0000,0.9310,0.9310,0.6724,0.6207,0.6724,0.4655,0.3448,0.3448,0.3621,0.1552
0.5517,0.9310,1.0000,1.0000,0.7414,0.6897,0.7414,0.4655,0.3448,0.2759,0.2931,0.0862
0.5517,0.9310,1.0000,1.0000,0.7414,0.6897,0.7414,0.4655,0.3448,0.2759,0.2931,0.0862
0.5417,0.7083,0.7917,0.7917,1.0000,0.5000,0.7292,0.4375,0.4583,0.5000,0.3958,0.2292
0.5556,0.6296,0.7037,0.7037,0.5000,1.0000,0.6481,0.5741,0.4444,0.2222,0.3519,0.3889
0.7500,0.6786,0.7500,0.7500,0.6964,0.6429,1.0000,0.7321,0.6071,0.4643,0.4107,0.3393
0.7143,0.4643,0.4643,0.4643,0.4464,0.5714,0.7321,1.0000,0.8929,0.6071,0.3750,0.6250
0.6552,0.3448,0.3448,0.3448,0.4655,0.4483,0.6034,0.8793,1.0000,0.7241,0.5000,0.7414
0.5185,0.3333,0.2593,0.2593,0.5000,0.2222,0.4630,0.6111,0.7407,1.0000,0.6481,0.7222
0.5714,0.3571,0.2857,0.2857,0.4107,0.3571,0.4107,0.3750,0.5000,0.6429,1.0000,0.7679
0.5357,0.1429,0.0714,0.0714,0.2679,0.3929,0.3393,0.6250,0.7500,0.7143,0.7679,1.0000
